Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Junio 2024	10,7 	- 0,2 %	- 1,3 %	- 3,8 %
Mayo 2024	10,7 	n.d.	- 3,6 %	n.d.
Abril 2024	n.d.	n.d.	n.d.	n.d.
Marzo 2024	10,8 	- 2,5 %	- 0,5 %	- 1,2 %
Febrero 2024	11,1 	0,0 %	+ 6,7 %	+ 1,9 %
Enero 2024	11,1 	+ 2,1 %	+ 3,6 %	+ 1,0 %
Diciembre 2023	10,9 	+ 4,5 %	- 1,3 %	- 1,0 %
Noviembre 2023	10,4 	- 2,8 %	- 8,1 %	- 3,8 %
Octubre 2023	10,7 	- 2,8 %	- 10,6 %	- 3,6 %
Septiembre 2023	11,0 	- 2,7 %	- 0,7 %	+ 6,7 %
Agosto 2023	11,3 	- 5,6 %	n.d.	+ 14,0 %
Julio 2023	12,0 	+ 8,0 %	n.d.	+ 20,7 %
Junio 2023	11,1 	n.d.	+ 1,3 %	n.d.
Mayo 2023	n.d.	n.d.	n.d.	n.d.
Abril 2023	n.d.	n.d.	n.d.	n.d.
Marzo 2023	11,0 	+ 0,5 %	- 0,3 %	n.d.
Febrero 2023	10,9 	- 0,8 %	+ 0,7 %	+ 9,1 %
Enero 2023	11,0 	0,0 %	- 1,1 %	n.d.
Diciembre 2022	11,0 	+ 1,5 %	+ 6,5 %	+ 10,0 %
Noviembre 2022	10,8 	- 2,6 %	+ 9,0 %	+ 4,0 %
Octubre 2022	11,1 	+ 7,7 %	+ 11,9 %	+ 12,4 %
Septiembre 2022	10,3 	+ 4,0 %	n.d.	+ 11,3 %
Agosto 2022	9,9 	0,0 %	n.d.	+ 7,0 %
Julio 2022	9,9 	n.d.	n.d.	+ 1,2 %
Junio 2022	n.d.	n.d.	n.d.	n.d.
Mayo 2022	n.d.	n.d.	n.d.	n.d.
Abril 2022	n.d.	n.d.	n.d.	n.d.
Marzo 2022	n.d.	n.d.	n.d.	n.d.
Febrero 2022	10,0 	n.d.	- 4,0 %	0,0 %
Enero 2022	n.d.	n.d.	n.d.	n.d.
Diciembre 2021	10,0 	- 4,0 %	+ 7,7 %	+ 4,2 %
Noviembre 2021	10,4 	+ 5,2 %	+ 12,2 %	+ 9,1 %
Octubre 2021	9,9 	+ 6,6 %	+ 0,8 %	+ 5,9 %
Septiembre 2021	9,3 	0,0 %	- 1,3 %	+ 0,6 %
Agosto 2021	9,3 	- 5,5 %	- 1,7 %	- 3,4 %
Julio 2021	9,8 	+ 4,4 %	+ 4,0 %	+ 6,7 %
Junio 2021	9,4 	- 0,3 %	- 4,2 %	- 2,1 %
Mayo 2021	9,4 	0,0 %	- 5,6 %	n.d.
Abril 2021	9,4 	- 3,8 %	+ 0,3 %	n.d.
Marzo 2021	9,8 	- 1,8 %	+ 2,3 %	n.d.
Febrero 2021	10,0 	+ 6,2 %	+ 4,8 %	n.d.
Enero 2021	9,4 	- 1,9 %	+ 0,8 %	+ 4,6 %
Diciembre 2020	9,6 	+ 0,6 %	+ 4,0 %	+ 8,2 %
Noviembre 2020	9,5 	+ 2,1 %	- 0,7 %	+ 5,9 %
Octubre 2020	9,3 	+ 1,2 %	+ 1,5 %	- 0,8 %
Septiembre 2020	9,2 	- 4,0 %	- 4,0 %	- 0,2 %
Agosto 2020	9,6 	+ 4,4 %	n.d.	+ 13,1 %
Julio 2020	9,2 	- 4,3 %	n.d.	+ 1,9 %
Junio 2020	9,6 	n.d.	n.d.	+ 7,5 %
Mayo 2020	n.d.	n.d.	n.d.	n.d.
