Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Junio 2024	2.885	+ 2,1 %	+ 2,8 %	+ 11,1 %
Mayo 2024	2.825	- 0,1 %	+ 0,4 %	+ 8,8 %
Abril 2024	2.827	+ 0,7 %	+ 0,4 %	+ 9,2 %
Marzo 2024	2.807	- 0,2 %	+ 0,8 %	+ 10,2 %
Febrero 2024	2.814	0,0 %	+ 1,2 %	+ 10,9 %
Enero 2024	2.815	+ 1,0 %	+ 2,3 %	+ 11,2 %
Diciembre 2023	2.786	+ 0,2 %	+ 3,8 %	+ 9,6 %
Noviembre 2023	2.780	+ 1,0 %	+ 4,9 %	+ 9,7 %
Octubre 2023	2.753	+ 2,6 %	+ 5,5 %	+ 10,6 %
Septiembre 2023	2.683	+ 1,3 %	+ 3,4 %	+ 7,6 %
Agosto 2023	2.649	+ 1,5 %	+ 2,1 %	+ 7,1 %
Julio 2023	2.609	+ 0,5 %	+ 0,8 %	+ 6,1 %
Junio 2023	2.596	0,0 %	+ 1,9 %	+ 5,7 %
Mayo 2023	2.596	+ 0,3 %	+ 2,3 %	+ 6,0 %
Abril 2023	2.589	+ 1,6 %	+ 2,2 %	+ 6,9 %
Marzo 2023	2.548	+ 0,4 %	+ 0,2 %	+ 6,5 %
Febrero 2023	2.537	+ 0,2 %	+ 0,1 %	+ 6,0 %
Enero 2023	2.532	- 0,4 %	+ 1,7 %	+ 5,6 %
Diciembre 2022	2.543	+ 0,3 %	+ 2,0 %	+ 6,8 %
Noviembre 2022	2.535	+ 1,8 %	+ 2,4 %	+ 5,8 %
Octubre 2022	2.490	- 0,1 %	+ 1,2 %	+ 4,2 %
Septiembre 2022	2.493	+ 0,8 %	+ 1,5 %	+ 5,7 %
Agosto 2022	2.474	+ 0,6 %	+ 1,0 %	+ 5,3 %
Julio 2022	2.459	+ 0,2 %	+ 1,6 %	+ 4,5 %
Junio 2022	2.456	+ 0,3 %	+ 2,6 %	+ 5,0 %
Mayo 2022	2.449	+ 1,2 %	+ 2,4 %	+ 5,3 %
Abril 2022	2.420	+ 1,2 %	+ 1,0 %	+ 4,7 %
Marzo 2022	2.392	0,0 %	+ 0,4 %	+ 3,1 %
Febrero 2022	2.392	- 0,2 %	- 0,1 %	+ 3,5 %
Enero 2022	2.397	+ 0,6 %	+ 0,3 %	+ 3,6 %
Diciembre 2021	2.382	- 0,5 %	+ 1,0 %	+ 3,0 %
Noviembre 2021	2.395	+ 0,2 %	+ 1,9 %	+ 2,8 %
Octubre 2021	2.389	+ 1,3 %	+ 1,5 %	+ 2,2 %
Septiembre 2021	2.358	+ 0,4 %	+ 0,8 %	+ 0,6 %
Agosto 2021	2.349	- 0,2 %	+ 1,0 %	0,0 %
Julio 2021	2.354	+ 0,6 %	+ 1,8 %	- 0,4 %
Junio 2021	2.339	+ 0,5 %	+ 0,8 %	- 1,2 %
Mayo 2021	2.326	+ 0,6 %	+ 0,6 %	- 2,5 %
Abril 2021	2.312	- 0,4 %	- 0,1 %	- 3,1 %
Marzo 2021	2.321	+ 0,4 %	+ 0,4 %	- 2,5 %
Febrero 2021	2.312	- 0,1 %	- 0,8 %	- 2,1 %
Enero 2021	2.315	+ 0,1 %	- 1,0 %	0,0 %
Diciembre 2020	2.312	- 0,8 %	- 1,4 %	+ 0,3 %
Noviembre 2020	2.330	- 0,3 %	- 0,9 %	+ 1,8 %
Octubre 2020	2.337	- 0,3 %	- 1,1 %	+ 2,9 %
Septiembre 2020	2.343	- 0,3 %	- 1,0 %	+ 3,3 %
Agosto 2020	2.350	- 0,5 %	- 1,5 %	+ 4,1 %
Julio 2020	2.363	- 0,1 %	- 1,0 %	+ 5,7 %
