 ;Total;Vivienda principal;Vivienda no principal
04013 Almería;100.957;75.980;24.977
04079 Roquetas de Mar;62.150;37.295;24.855
11004 Algeciras;55.815;45.430;10.385
11012 Cádiz;56.479;46.071;10.408
11015 Chiclana de la Frontera;49.229;31.638;17.591
11020 Jerez de la Frontera;92.974;79.708;13.266
11022 Línea de la Concepción (La);30.028;24.282;5.746
11027 Puerto de Santa María (El);49.077;32.489;16.588
11031 San Fernando;39.564;34.878;4.686
11032 Sanlúcar de Barrameda;34.536;25.294;9.242
14021 Córdoba;155.400;122.668;32.732
18087 Granada;141.257;98.316;42.941
18140 Motril;32.841;21.576;11.265
21041 Huelva;68.714;55.813;12.901
22125 Huesca;29.309;21.830;7.479
23050 Jaén;58.293;43.149;15.144
29025 Benalmádena;48.663;29.656;19.007
29051 Estepona;50.366;27.729;22.637
29054 Fuengirola;48.887;33.911;14.976
29067 Málaga;261.857;218.245;43.612
29069 Marbella;100.282;56.491;43.791
29070 Mijas;62.030;33.623;28.407
29094 Vélez-Málaga;50.454;32.267;18.187
29901 Torremolinos;42.938;29.339;13.599
41091 Sevilla;327.393;266.588;60.805
